Date,Open,High,Low,Close,Adj Close,Volume
2019-06-10,36.959999,37.080002,36.049999,36.849998,34.315434,14806800
2019-06-11,37.099998,37.240002,36.529999,37.020000,34.473743,20154600
2019-06-12,37.099998,37.450001,36.450001,36.590000,34.073318,21513400
2019-06-13,36.549999,36.700001,35.619999,36.189999,33.700836,33250600
2019-06-14,36.049999,36.320000,35.669998,36.130001,33.644958,12733400
2019-06-17,36.060001,36.389999,35.799999,36.040001,33.561153,13858700
2019-06-18,36.389999,36.639999,36.160000,36.349998,33.849823,20251200
2019-06-19,36.240002,36.900002,35.759998,36.799999,34.268879,15693800
2019-06-21,37.000000,37.630001,36.990002,37.630001,35.041790,17726900
2019-06-24,37.650002,38.099998,37.500000,37.930000,35.321159,9754300
2019-06-25,37.830002,38.150002,37.180000,37.610001,35.023167,15258100
2019-06-26,37.740002,38.230000,37.400002,38.080002,35.460831,12888600
2019-06-27,37.720001,38.119999,37.240002,37.900002,35.293209,10042700
2019-06-28,38.119999,38.279999,37.700001,37.740002,35.144215,16921900
2019-07-01,38.099998,38.189999,37.450001,37.630001,35.202724,11841800
2019-07-02,37.619999,38.020000,37.090000,37.730000,35.312450,13656800
2019-07-03,37.509998,38.450001,37.410000,38.400002,35.939529,11743900
2019-07-04,38.730000,39.380001,38.669998,39.070000,36.566597,14320100
2019-07-05,38.950001,39.549999,38.660000,39.410000,36.884804,12976600
2019-07-08,39.459999,39.520000,39.020000,39.230000,36.716339,9326200
2019-07-10,39.599998,39.939999,38.919998,39.049999,36.547878,20558400
2019-07-11,38.950001,38.950001,38.090000,38.720001,36.239025,19768700
2019-07-12,38.860001,39.000000,37.939999,38.000000,35.565159,17556000
2019-07-15,38.279999,38.279999,37.630001,37.840000,35.415409,11769900
2019-07-16,37.889999,38.029999,37.580002,37.849998,35.424763,9177500
2019-07-17,37.939999,38.110001,37.650002,37.650002,35.237587,12979600
2019-07-18,37.799999,38.570000,37.700001,38.470001,36.005039,13893100
2019-07-19,38.299999,38.330002,37.450001,37.599998,35.190781,14348500
2019-07-22,37.720001,38.490002,37.700001,38.119999,35.677467,13573300
2019-07-23,38.430000,38.480000,37.980000,38.250000,35.799137,14554100
2019-07-24,38.349998,38.970001,38.330002,38.970001,36.473007,17942000
2019-07-25,37.700001,37.980000,36.650002,36.700001,34.348450,53837900
2019-07-26,37.150002,37.169998,36.230000,36.230000,33.908566,25060000
2019-07-29,36.349998,36.549999,35.939999,36.150002,33.833694,14389400
2019-07-30,35.910000,35.939999,35.070000,35.400002,33.131756,30389300
2019-07-31,32.272701,32.336399,31.154600,31.363600,29.353981,35477310
2019-08-01,35.000000,35.439999,34.189999,34.200001,32.008644,29411300
2019-08-02,34.320000,34.810001,33.910000,34.279999,32.099705,24214700
2019-08-05,33.700001,34.180000,33.369999,33.660000,31.519140,20608700
2019-08-06,34.000000,34.360001,33.740002,34.169998,31.996695,28308100
2019-08-07,34.000000,35.070000,33.680000,34.889999,32.670902,31697600
2019-08-08,35.180000,35.330002,34.650002,35.060001,32.830097,19098900
2019-08-09,34.970001,35.230000,34.340000,34.480000,32.286987,14563500
2019-08-12,33.790001,34.049999,33.439999,33.759998,31.612780,21807300
2019-08-13,33.599998,34.720001,33.540001,34.099998,31.931152,17243500
2019-08-14,33.650002,33.840000,33.060001,33.430000,31.303772,21977600
2019-08-15,33.619999,33.750000,32.790001,33.200001,31.088398,22500400
2019-08-16,33.509998,33.740002,33.020000,33.270000,31.153938,14544500
2019-08-19,33.560001,33.570000,32.560001,32.790001,30.704477,24782600
2019-08-20,32.889999,32.900002,32.029999,32.470001,30.404827,16308400
2019-08-21,32.939999,33.200001,32.619999,33.110001,31.004126,19487700
2019-08-22,33.200001,33.290001,32.650002,32.680000,30.601473,12445600
2019-08-23,32.119999,32.599998,31.620001,31.969999,29.936628,21977800
2019-08-26,32.150002,32.160000,31.360001,31.639999,29.627619,16280100
2019-08-27,31.850000,32.349998,31.530001,32.040001,30.002178,24508900
2019-08-28,31.719999,32.230000,31.559999,31.850000,29.824259,13322100
2019-08-29,32.119999,32.689999,31.840000,32.450001,30.386099,16310500
2019-08-30,32.759998,33.240002,32.689999,32.950001,30.854294,27227300
2019-09-02,33.150002,33.330002,32.599998,32.610001,30.535923,9658000
2019-09-03,32.450001,33.040001,31.930000,32.060001,30.036791,14037000
2019-09-04,32.580002,32.630001,32.180000,32.459999,30.411543,13519800
2019-09-05,32.880001,34.110001,32.650002,33.209999,31.114214,19943600
2019-09-06,33.430000,34.599998,33.419998,34.599998,32.416500,24664000
2019-09-09,34.759998,35.549999,34.759998,35.040001,32.828732,24483100
2019-09-10,34.910000,35.150002,34.110001,34.419998,32.247852,20415000
